A.F.C. Bournemouth,Barclays Premier League
Arsenal F.C.,Barclays Premier League
Brighton & Hove Albion F.C.,Barclays Premier League
Burnley F.C.,Barclays Premier League
Chelsea F.C.,Barclays Premier League
Crystal Palace F.C.,Barclays Premier League
Everton F.C.,Barclays Premier League
Huddersfield Town A.F.C.,Barclays Premier League
Leicester City,Barclays Premier League
Liverpool F.C.,Barclays Premier League
Manchester City F.C.,Barclays Premier League
Manchester United F.C.,Barclays Premier League
Newcastle United F.C.,Barclays Premier League
Southampton F.C.,Barclays Premier League
Stoke City F.C.,Barclays Premier League
Swansea City A.F.C.,Barclays Premier League
Tottenham Hotspur F.C.,Barclays Premier Leagu
Watford F.C.,Barclays Premier League
West Bromwich Albion F.C.,Barclays Premier League
West Ham United F.C.,Barclays Premier League
Aston Villa F.C.,Sky Bet Championship
Barnsley F.C.,Sky Bet Championship
Birmingham City F.C.,Sky Bet Championship
Blackburn Rovers F.C.,Sky Bet Championship
Brentford F.C.,Sky Bet Championship
Bristol City F.C.,Sky Bet Championship
Burton Albion F.C.,Sky Bet Championship
Cardiff City F.C.,Sky Bet Championship
Derby County F.C.,Sky Bet Championship
Fulham F.C.,Sky Bet Championship
Hull City A.F.C.,Sky Bet Championship
Ipswich Town F.C.,Sky Bet Championship
Leeds United A.F.C.,Sky Bet Championship
Middlesbrough F.C.,Sky Bet Championship
Norwich City F.C.,Sky Bet Championship
Nottingham Forest F.C.,Sky Bet Championship
Preston North End F.C.,Sky Bet Championship
Queens Park Rangers F.C.,Sky Bet Championship
Reading F.C.,Sky Bet Championship
Rotherham United F.C.,Sky Bet Championship
Sheffield Wednesday F.C.,Sky Bet Championship
Sunderland A.F.C.,Sky Bet Championship
Wigan Athletic F.C.,Sky Bet Championship
Wolverhampton Wanderers F.C.,Sky Bet Championship
Bradford City A.F.C.,Sky Bet League One
Chesterfield F.C.,Sky Bet League One
Colchester United F.C.,Sky Bet League One
Coventry City F.C.,Sky Bet League One
Crawley Town F.C.,Sky Bet League One
Crewe Alexandra F.C.,Sky Bet League One
Doncaster Rovers F.C.,Sky Bet League One
Fleetwood Town F.C.,Sky Bet League One
Gillingham F.C.,Sky Bet League One
Leyton Orient F.C.,Sky Bet League One
Milton Keynes Dons F.C.,Sky Bet League One
Notts County F.C.,Sky Bet League One
Oldham Athletic F.C.,Sky Bet League One
Peterborough United F.C.,Sky Bet League One
Port Vale F.C.,Sky Bet League One
Preston North End F.C.,Sky Bet League One
Rochdale A.F.C.,Sky Bet League One
Scunthorpe United F.C.,Sky Bet League One
Sheffield United F.C.,Sky Bet League One
Swindon Town F.C.,Sky Bet League One
Walsall F.C.,Sky Bet League One
Yeovil Town F.C.,Sky Bet League One
Accrington Stanley F.C.,Sky Bet League Two
A.F.C. Wimbledon,Sky Bet League Two
Bury F.C.,Sky Bet League Two
Cambridge United F.C.,Sky Bet League Two
Carlisle United F.C.,Sky Bet League Two
Cheltenham Town F.C.,Sky Bet League Two
Dagenham & Redbridge F.C.,Sky Bet League Two
Exeter City F.C.,Sky Bet League Two
Hartlepool United F.C.,Sky Bet League Two
Luton Town F.C.,Sky Bet League Two
Mansfield Town F.C.,Sky Bet League Two
Morecambe F.C.,Sky Bet League Two
Newport County A.F.C.,Sky Bet League Two
Northampton Town F.C.,Sky Bet League Two
Oxford United F.C.,Sky Bet League Two
Plymouth Argyle F.C.,Sky Bet League Two
Portsmouth F.C.,Sky Bet League Two
Shrewsbury Town F.C.,Sky Bet League Two
Southend United F.C.,Sky Bet League Two
Stevenage F.C.,Sky Bet League Two
Tranmere Rovers F.C.,Sky Bet League Two
Wycombe Wanderers F.C.,Sky Bet League Two
York City F.C.,Sky Bet League Two
A.F.C Telford United,Conference Premier
Aldershot Town F.C.,Conference Premier
Alfreton F.C,Conference Premier
Altrincham F.C.,Conference Premier
Barnet F.C.,Conference Premier
Braintree Town F.C.,Conference Premier
Bristol Rovers F.C.,Conference Premier
Chester F.C.,Conference Premier
Dartford F.C.,Conference Premier
Dover Athletic F.C.,Conference Premier
Eastleigh F.C.,Conference Premier
F.C. Halifax Town,Conference Premier
Forest Green Rovers F.C.,Conference Premier
Gateshead F.C.,Conference Premier
Grimsby Town F.C.,Conference Premier
Kidderminster Harriers F.C.,Conference Premier
Morecambe F.C.,Conference Premier
Lincoln City F.C.,Conference Premier
Macclesfield Town F.C.,Conference Premier
Nuneaton F.C.,Conference Premier
Southport F.C.,Conference Premier
Torquay United F.C.,Conference Premier
Welling United F.C.,Conference Premier
Woking F.C.,Conference Premier
Wrexham F.C.,Conference Premier